months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,years_as_customer,total_claims
328,48,521585,2014-10-17,OH,250/500,1000,1406.91,0,466132,MALE,MD,craft-repair,sleeping,husband,53300.0,0,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,9935 4th Drive,5,1,YES,1,2,YES,71610.0,6510.0,13020.0,52080,Saab,92x,2004,Y,27.0,71610.0
228,42,342868,2006-06-27,IN,250/500,2000,1197.22,5000000,468176,MALE,MD,machine-op-inspct,reading,other-relative,0.0,0,2015-01-21,Vehicle Theft,Not Specified,Minor Damage,Police,VA,Riverwood,6608 MLK Hwy,8,1,Not specified,0,0,Not specified,5070.0,780.0,780.0,3510,Mercedes,E400,2007,Y,19.0,5070.0
134,29,687698,2000-09-06,OH,100/300,2000,1413.14,5000000,430632,FEMALE,PhD,sales,board-games,own-child,35100.0,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7121 Francis Lane,7,3,NO,2,3,NO,34650.0,7700.0,3850.0,23100,Dodge,RAM,2007,N,11.0,34650.0
256,41,227811,1990-05-25,IL,250/500,2000,1415.74,6000000,608117,FEMALE,PhD,armed-forces,,unmarried,48900.0,-62400,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,6956 Maple Drive,5,1,Not specified,1,2,NO,63400.0,6340.0,6340.0,50720,Chevrolet,Tahoe,2014,Y,21.0,63400.0
228,44,367455,2014-06-06,IL,500/1000,1000,1583.91,6000000,610706,MALE,Associate,sales,,unmarried,66000.0,-46000,2015-02-17,Vehicle Theft,Not Specified,Minor Damage,None,NY,Arlington,3041 3rd Ave,20,1,NO,0,1,NO,6500.0,1300.0,650.0,4550,Accura,RSX,2009,N,19.0,6500.0
256,39,104594,2006-10-12,OH,250/500,1000,1351.1,0,478456,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0.0,0,2015-01-02,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,8973 Washington St,19,3,NO,0,2,NO,64100.0,6410.0,6410.0,51280,Saab,95,2003,Y,21.0,64100.0
137,34,413978,2000-06-04,IN,250/500,1000,1333.35,0,441716,MALE,,prof-specialty,board-games,husband,0.0,-77000,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,5846 Weaver Drive,0,3,Not specified,0,0,Not specified,78650.0,21450.0,7150.0,50050,Nissan,Pathfinder,2012,N,11.0,78650.0
165,37,429027,1990-02-03,IL,100/300,1000,1137.03,0,603195,MALE,Associate,tech-support,base-jumping,unmarried,0.0,0,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3525 3rd Hwy,23,3,Not specified,2,2,YES,51590.0,9380.0,9380.0,32830,Audi,A5,2015,N,14.0,51590.0
27,33,485665,1997-02-05,IL,100/300,500,1442.99,0,601734,FEMALE,PhD,other-service,golf,own-child,0.0,0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,21,1,NO,1,1,YES,27700.0,2770.0,2770.0,22160,Toyota,Camry,2012,N,2.0,27700.0
212,42,636550,2011-07-25,IL,100/300,500,1315.68,0,600983,MALE,PhD,priv-house-serv,camping,wife,0.0,-39300,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,3066 Francis Ave,14,1,NO,2,1,Not specified,42300.0,4700.0,4700.0,32900,Saab,92x,1996,N,18.0,42300.0
235,42,543610,2002-05-26,OH,100/300,500,1253.12,4000000,462283,FEMALE,Masters,exec-managerial,dancing,other-relative,38400.0,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,22,1,YES,2,2,Not specified,87010.0,7910.0,15820.0,63280,Ford,F150,2002,N,20.0,87010.0
447,61,214618,1999-05-29,OH,100/300,2000,,0,615561,FEMALE,High School,exec-managerial,skydiving,other-relative,0.0,-51000,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,,Springfield,5971 5th Hwy,21,3,YES,1,2,YES,114920.0,17680.0,17680.0,79560,Audi,A3,2006,N,37.0,114920.0
60,23,842643,1997-11-20,OH,500/1000,500,1215.36,3000000,432220,MALE,MD,protective-serv,reading,wife,0.0,0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,1,YES,1,0,NO,56520.0,4710.0,9420.0,42390,Saab,95,2000,N,5.0,56520.0
121,34,626808,2012-10-26,OH,100/300,1000,936.61,0,464652,FEMALE,MD,armed-forces,bungie-jumping,wife,52800.0,-32800,2015-01-08,Parked Car,Not Specified,Minor Damage,None,SC,Springfield,6582 Elm Lane,5,1,NO,1,1,NO,7280.0,1120.0,1120.0,5040,Toyota,Highlander,2010,N,10.0,7280.0
180,38,644081,1998-12-28,OH,250/500,2000,1301.13,0,476685,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300.0,-55500,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,12,1,NO,0,2,YES,46200.0,4200.0,8400.0,33600,Dodge,Neon,2003,Y,15.0,46200.0
